"Gennemsnitsalder efter sogn og tid"

" ","2010","2011","2012","2013"
"7199 Tune (Greve Kommune)",40.0,40.5,40.9,41.3
"7200 Karlslunde (Greve Kommune)",39.9,40.4,40.7,41.3
"7201 Karlstrup (Solrød Kommune)",40.1,39.9,40.0,40.7
"7202 Havdrup (Solrød Kommune)",38.8,39.2,39.3,39.8
"7203 Solrød (Solrød Kommune)",40.2,40.3,40.5,40.9
"7204 Jersie (Solrød Kommune)",40.1,40.6,41.0,41.3
"7205 Kirke Skensved (Solrød Kommune)",37.5,38.4,40.0,40.0
"7206 Køge (Køge Kommune)",42.6,42.6,43.0,43.3
"7207 Ølsemagle (Køge Kommune)",37.2,37.6,38.0,38.3
"7208 Rorup (Lejre Kommune)",37.8,38.2,38.7,39.2
"7209 Glim (Lejre Kommune)",37.6,38.2,38.6,39.1
"7210 Gadstrup (Roskilde Kommune)",39.4,39.5,39.7,39.8
"7211 Syv (Roskilde Kommune)",41.2,41.7,42.2,42.6
"7212 Ørsted (Roskilde Kommune)",36.6,37.2,38.1,38.3
"7213 Dåstrup (Roskilde Kommune)",37.3,37.8,38.4,39.1
"7214 Borup (Køge Kommune, Ringsted Kommune)",41.9,41.8,41.9,42.0
"7215 Kimmerslev (Køge Kommune)",43.4,43.9,44.8,44.6
"7216 Ejby (Køge Kommune)",39.1,39.3,39.8,40.2
"7217 Nørre Dalby (Køge Kommune)",33.5,34.0,34.5,35.5
"7218 Højelse (Køge Kommune)",38.2,38.3,38.5,39.0
"7219 Ubby (Kalundborg Kommune)",41.1,41.3,41.9,42.6
"7220 Svallerup (Kalundborg Kommune)",43.0,43.4,44.1,45.0
"7221 Store Fuglede (Kalundborg Kommune)",36.7,36.7,37.5,38.3
"7222 Lille Fuglede (Kalundborg Kommune)",36.7,37.2,37.9,37.7
"7223 Sæby (Kalundborg Kommune)",39.7,39.5,40.2,40.4
"7224 Hallenslev (Kalundborg Kommune)",37.6,37.0,38.4,38.7
"7225 Buerup (Kalundborg Kommune)",41.4,43.2,43.6,44.2
"7226 Reerslev (Kalundborg Kommune)",38.3,38.8,40.4,41.0
"7227 Ruds Vedby (Sorø Kommune)",38.2,38.6,39.1,39.6
"7228 Tersløse (Sorø Kommune)",42.0,42.3,42.4,42.9
"7229 Skellebjerg (Sorø Kommune)",40.3,40.8,41.4,41.7
"7230 Niløse (Sorø Kommune)",40.1,39.7,39.7,39.8
"7231 Ørslev (Kalundborg Kommune)",39.3,39.4,39.9,41.0
"7232 Solbjerg (Kalundborg Kommune)",36.8,36.6,37.1,39.6
"7233 Havrebjerg (Slagelse Kommune)",40.3,39.6,39.9,39.6
"7234 Gierslev (Kalundborg Kommune)",38.3,38.6,39.0,38.8
"7235 Finderup (Kalundborg Kommune, Sorø Kommune)",41.9,42.2,42.6,42.7
"7236 Gørlev (Kalundborg Kommune)",43.9,44.2,44.2,44.5
"7237 Bakkendrup (Kalundborg Kommune)",36.3,37.9,38.8,39.8
"7238 Kirke Helsinge (Kalundborg Kommune)",45.3,43.0,43.4,43.5
"7239 Drøsselbjerg (Kalundborg Kommune)",45.4,45.6,46.0,46.4
"7240 Tranebjerg (Samsø Kommune)",48.3,49.1,49.2,49.5
"7241 Besser (Samsø Kommune)",47.2,47.4,47.8,48.5
"7242 Onsbjerg (Samsø Kommune)",46.3,47.2,47.8,48.4
"7243 Kolby (Samsø Kommune)",46.3,47.8,48.0,50.7
"7244 Nordby (Samsø Kommune)",49.8,51.0,52.2,53.1
"7245 Stenlille (Sorø Kommune)",41.8,41.9,42.2,42.6
"7246 Orø (Holbæk Kommune)",49.9,50.3,52.2,52.5
"7247 Føllenslev (Kalundborg Kommune)",44.4,45.0,45.9,46.9
"7248 Særslev (Kalundborg Kommune)",38.3,38.7,38.6,38.3
"7249 Bregninge (Kalundborg Kommune)",44.8,46.2,46.9,47.3
"7250 Bjergsted (Kalundborg Kommune)",39.2,40.7,41.8,42.8
"7251 Viskinge (Kalundborg Kommune)",41.6,42.2,42.3,42.8
"7252 Aunsø (Kalundborg Kommune)",40.0,39.6,39.5,40.6
"7253 Værslev (Kalundborg Kommune)",38.3,38.7,39.3,40.6
"7254 Jorløse (Kalundborg Kommune)",40.6,41.2,42.9,43.5
"7255 Vallekilde (Odsherred Kommune)",37.2,37.7,38.5,38.4
"7256 Hørve (Odsherred Kommune)",41.1,41.0,41.3,41.4
"7257 Sejerø (Kalundborg Kommune)",54.8,55.8,56.6,57.0
"7258 Nykøbing Sj (Odsherred Kommune)",46.4,46.6,47.0,47.5
"7259 Rørvig (Odsherred Kommune)",53.3,53.7,54.3,54.8
"7260 Odden (Odsherred Kommune)",48.8,49.5,49.7,50.9
"7261 Højby (Odsherred Kommune)",48.0,49.0,49.0,49.7
"7262 Vig (Odsherred Kommune)",44.2,44.5,45.2,45.5
"7263 Nørre Asmindrup (Odsherred Kommune)",40.7,41.6,41.9,42.5
"7264 Egebjerg (Odsherred Kommune)",42.7,43.3,43.7,45.0
