SOGNEKODE;ANTAL.IKKEBESK;SOGNENAVN;KOMNAVN;INDKOMST.BESK;INDKOMST.IKKEBESK;INDKOMST.STUD;INDKOMST.ALLE;INDKOMST.GNS.BESK;INDKOMST.GNS.IKKEBESK;INDKOMST.GNS.STUD;INDKOMST.GNS.ALLE;ANTAL.BESK;ANTAL.STUD;ANTAL.ALLE;KOM.INDKOMST.GNS.BESK;KOM.INDKOMST.GNS.IKKEBESK;KOM.INDKOMST.GNS.STUD;KOM.INDKOMST.GNS.ALLE
7399;1250;Kregme Sogn;Halsnæs;417550;220735;181556;336745;439383;242702;237698;359940;1980;90;3310;440394;238130;203381;347411
7400;1020;Ølsted Sogn;Halsnæs;405209;208675;195333;310948;442017;231162;206901;346803;1330;60;2410;440394;238130;203381;347411
7401;120;Tjæreby Sogn;Hillerød;434624;202355;173792;370451;564247;238067;201474;461828;310;20;450;528981;264725;186443;423735
7402;520;Alsønderup Sogn;Hillerød;453853;206507;179510;391398;523381;234960;191759;433508;1230;30;1780;528981;264725;186443;423735
7403;520;Skævinge Sogn;Hillerød;439436;221498;199969;381901;489740;232933;208152;411675;1350;60;1930;528981;264725;186443;423735
7404;400;Lille Lyngby Sogn;Hillerød;424828;216296;194878;366580;473240;235218;219326;402344;1060;40;1510;528981;264725;186443;423735
7405;90;Strø Sogn;Hillerød;414270;212628;237236;378723;499295;251477;234156;441180;330;10;430;528981;264725;186443;423735
7406;290;Gørløse Sogn;Hillerød;433855;226019;184526;362521;482554;241568;179169;406361;750;40;1080;528981;264725;186443;423735
7407;1590;Melby Sogn;Halsnæs;420239;216977;145625;325624;452035;247729;172837;358733;2010;60;3660;440394;238130;203381;347411
7408;3370;Torup Sogn;Halsnæs;409189;220859;184336;308283;448130;246005;208059;351371;3940;180;7480;440394;238130;203381;347411
7409;3370;Ølstykke Sogn;Egedal;447071;216589;182331;376497;493877;248877;204962;407149;6860;300;10540;526112;261423;197663;433535
7410;1900;Stenløse Sogn;Egedal;461575;227513;162555;370046;520466;258392;186240;420512;3480;170;5550;526112;261423;197663;433535
7411;370;Veksø Sogn;Egedal;467532;239871;149535;404212;570840;256103;168657;474537;970;40;1380;526112;261423;197663;433535
7412;420;Slagslunde Sogn;Egedal;465913;227799;151245;379939;527432;265342;173655;426651;710;10;1140;526112;261423;197663;433535
7413;820;Ganløse Sogn;Egedal;484879;234922;173968;399247;587965;277727;202720;480193;1670;50;2540;526112;261423;197663;433535
7414;5270;Farum Sogn;Furesø;464878;242048;165701;369966;582301;283556;198720;462444;8960;490;14730;630567;305045;202582;500456
7415;1410;Hillerød Sogn;Hillerød;429554;239268;169779;331325;502888;265902;178407;392034;2510;470;4390;528981;264725;186443;423735
7416;480;Nørre Herlev Sogn;Hillerød;492980;251962;210878;425839;612573;305698;242860;517198;1190;50;1710;528981;264725;186443;423735
7417;2250;Præstevang Sogn;Hillerød;447975;229938;182295;342290;516909;255697;191171;402768;3560;350;6160;528981;264725;186443;423735
7418;2560;Frederikssund Sogn;Frederikssund;421740;231979;180129;302275;481878;251133;188318;360018;2690;290;5540;484221;242452;200833;381246
