"Gennemsnitsalder efter sogn og tid"

" ","2007","2008","2009"
"7871 Rynkeby (Kerteminde Kommune)",37.6,37.5,38.0
"7872 Revninge (Kerteminde Kommune)",36.2,35.5,35.5
"7873 Mesinge (Kerteminde Kommune)",40.6,40.3,40.4
"7874 Viby (Kerteminde Kommune)",37.8,39.1,38.8
"7875 Dalby (Kerteminde Kommune)",39.4,39.7,39.8
"7876 Stubberup (Kerteminde Kommune)",42.0,43.4,43.7
"7877 Seden (Odense Kommune)",41.0,40.6,40.2
"7878 Åsum (Odense Kommune)",40.9,40.7,41.2
"7879 Fraugde (Odense Kommune)",34.6,34.9,34.0
"7880 Allerup (Odense Kommune)",38.8,37.5,37.6
"7881 Davinde (Odense Kommune)",36.5,36.1,37.5
"7882 Rønninge (Kerteminde Kommune)",41.1,41.4,41.3
"7883 Rolfsted (Faaborg-Midtfyn Kommune)",42.3,42.2,42.4
"7884 Sønder Nærå (Faaborg-Midtfyn Kommune)",39.5,39.2,39.3
"7885 Nørre Lyndelse (Faaborg-Midtfyn Kommune)",40.7,41.1,40.9
"7886 Højby (Odense Kommune)",38.3,38.9,39.2
"7887 Nørre Søby (Faaborg-Midtfyn Kommune)",38.2,37.8,38.1
"7888 Norup (Nordfyns Kommune)",42.6,42.7,42.3
"7889 Østrup (Nordfyns Kommune)",38.6,38.6,38.7
"7890 Skeby (Nordfyns Kommune)",39.1,39.3,39.8
"7891 Otterup (Nordfyns Kommune)",44.1,44.5,44.8
"7892 Hjadstrup (Nordfyns Kommune)",39.6,39.8,39.0
"7893 Sankt Nikolaj (Vejle Kommune)",40.9,41.1,41.3
"7894 Vor Frelsers (Vejle Kommune)",40.6,41.0,40.8
"7895 Sankt Johannes (Vejle Kommune)",40.5,40.5,40.1
"7896 Hornstrup (Vejle Kommune)",38.2,38.7,38.7
"7897 Øster Snede (Hedensted Kommune)",36.2,36.2,36.1
"7898 Grejs (Vejle Kommune, Hedensted Kommune)",36.4,36.5,36.9
"7899 Sindbjerg (Vejle Kommune, Hedensted Kommune)",36.5,36.7,37.1
"7900 Uldum (Hedensted Kommune)",40.7,40.3,40.4
"7901 Langskov (Hedensted Kommune)",36.5,37.3,37.7
"7902 Hvejsel (Vejle Kommune)",35.9,35.9,35.9
"7903 Bredsten (Vejle Kommune)",38.4,38.8,38.8
"7904 Skibet (Vejle Kommune)",37.5,37.6,37.5
"7905 Jelling (Vejle Kommune)",38.1,38.2,38.3
"7906 Hover (Vejle Kommune)",38.3,38.4,38.2
"7907 Kollerup (Vejle Kommune)",33.2,33.2,34.1
"7908 Vindelev (Vejle Kommune)",34.6,35.5,36.7
"7909 Trinitatis (Fredericia Kommune)",41.2,41.3,41.3
"7910 Vejlby (Fredericia Kommune)",40.2,40.3,40.2
"7911 Sankt Michaelis (Fredericia Kommune)",44.9,44.5,44.4
"7912 Christians (Fredericia Kommune)",39.3,39.6,39.9
"7913 Erritsø (Fredericia Kommune)",39.5,39.9,40.3
"7914 Bredstrup (Fredericia Kommune)",37.3,37.4,37.4
"7915 Taulov (Fredericia Kommune)",38.5,38.3,38.2
"7916 Gauerslund (Vejle Kommune)",39.2,39.2,39.1
"7917 Vinding (Vejle Kommune)",40.5,40.9,42.1
"7918 Skærup (Vejle Kommune)",38.5,38.7,38.9
"7919 Mølholm (Vejle Kommune)",41.9,41.9,42.0
"7920 Smidstrup (Vejle Kommune)",38.4,38.4,38.6
"7921 Pjedsted (Fredericia Kommune)",38.9,39.4,39.7
"7922 Gårslev (Vejle Kommune)",41.3,41.6,42.2
"7923 Højen (Vejle Kommune)",37.8,37.6,37.8
"7924 Jerlev (Vejle Kommune)",38.8,38.1,38.6
"7925 Egtved (Vejle Kommune)",41.6,41.6,42.2
"7926 Ødsted (Vejle Kommune)",37.1,37.4,37.4
"7927 Sankt Nicolai (Kolding Kommune)",39.3,39.4,39.6
"7928 Kristkirkens (Kolding Kommune)",36.7,36.8,36.7
"7929 Brændkjær (Kolding Kommune)",42.2,42.5,42.9
"7930 Eltang (Kolding Kommune)",38.7,38.1,39.3
"7931 Sønder Vilstrup (Kolding Kommune)",37.0,36.4,37.5
"7932 Nørre Bjert (Kolding Kommune)",40.1,40.1,39.8
"7933 Harte (Kolding Kommune)",40.8,40.8,41.0
"7934 Bramdrup (Kolding Kommune)",39.3,40.1,40.4
"7935 Herslev (Fredericia Kommune)",37.4,37.0,37.3
"7936 Almind (Kolding Kommune)",35.5,35.9,35.9
"7937 Viuf (Kolding Kommune)",36.9,36.6,37.1
"7938 Øster Starup (Vejle Kommune)",38.0,38.2,38.5
"7939 Vester Nebel (Kolding Kommune)",37.3,36.9,37.2
"7940 Vonsild (Kolding Kommune)",39.6,40.3,40.5
"7941 Dalby (Kolding Kommune)",42.2,42.3,41.8
"7942 Sønder Bjert (Kolding Kommune)",39.7,40.3,40.2
"7943 Sønder Stenderup (Kolding Kommune)",40.5,40.4,40.9
"7944 Hejls (Kolding Kommune)",43.6,43.3,43.9
"7945 Vejstrup (Kolding Kommune)",38.3,38.7,39.4
"7946 Ødis (Kolding Kommune)",38.6,38.7,38.8
"7947 Taps (Kolding Kommune)",36.2,36.5,36.8
"7948 Nebsager (Hedensted Kommune)",42.0,41.5,41.7
"7949 Bjerre (Hedensted Kommune)",36.6,36.8,36.6
"7950 Urlev (Hedensted Kommune)",36.0,36.5,36.1
"7951 Stenderup (Hedensted Kommune)",37.9,37.8,38.6
"7952 Ørum (Hedensted Kommune)",34.2,34.3,34.5
"7953 Daugård (Hedensted Kommune)",38.6,37.5,37.8
"7954 Stouby (Hedensted Kommune)",37.8,37.6,38.1
"7955 Hornum (Hedensted Kommune)",33.2,32.5,32.0
"7956 Barrit (Hedensted Kommune)",38.9,38.9,38.7
"7957 Vrigsted (Hedensted Kommune)",37.2,37.4,37.9
"7958 As (Hedensted Kommune)",41.2,41.8,41.9
"7959 Klakring (Hedensted Kommune)",41.2,41.6,42.0
"7960 Rårup (Hedensted Kommune)",37.9,38.2,38.6
"7961 Skjold (Hedensted Kommune)",36.8,36.6,36.2
"7962 Glud (Hedensted Kommune)",42.3,42.6,43.3
"7963 Hjarnø (Hedensted Kommune)",48.8,50.1,51.3
"7964 Hatting (Horsens Kommune, Hedensted Kommune)",38.6,39.0,39.4
"7965 Ølsted (Hedensted Kommune)",35.8,36.4,36.6
"7966 Torsted (Horsens Kommune)",37.8,37.8,37.9
"7967 Tyrsted (Horsens Kommune)",38.5,38.8,39.0
"7968 Uth (Horsens Kommune)",39.3,39.9,39.4
"7969 Løsning (Hedensted Kommune)",38.7,38.8,38.9
"7970 Korning (Hedensted Kommune)",35.9,35.8,36.4
"7971 Hedensted (Hedensted Kommune)",37.9,38.0,38.2
"7972 Store Dalby (Hedensted Kommune)",37.7,36.0,37.0
"7973 Engum (Vejle Kommune)",36.5,35.8,36.3
"7974 Brande (Ikast-Brande Kommune)",39.8,40.0,40.1
"7975 Givskud (Vejle Kommune)",40.1,40.1,40.5
"7976 Øster Nykirke (Vejle Kommune)",37.3,37.3,37.3
"7977 Thyregod (Vejle Kommune)",38.2,38.4,38.5
"7978 Vester (Vejle Kommune)",39.1,38.3,37.8
"7979 Sønder Omme (Billund Kommune)",40.8,41.0,41.3
"7980 Blåhøj (Ikast-Brande Kommune)",39.5,38.2,38.5
"7981 Filskov (Billund Kommune)",38.8,38.9,39.1
"7982 Ringive (Vejle Kommune)",35.3,35.6,36.0
"7983 Give (Vejle Kommune)",42.1,42.3,42.4
"7984 Gadbjerg (Vejle Kommune)",38.1,38.5,38.3
"7985 Lindeballe (Vejle Kommune)",38.3,38.8,39.1
"7986 Nørup (Vejle Kommune)",38.9,39.3,39.7
"7987 Randbøl (Vejle Kommune)",40.2,40.1,40.1
"7988 Gammel Rye (Skanderborg Kommune)",36.0,36.3,36.4
"7989 Sønder Vissing (Horsens Kommune)",37.5,37.3,37.7
"7990 Voerladegård (Horsens Kommune, Skanderborg Kommune)",34.9,35.6,36.4
"7991 Grædstrup (Horsens Kommune)",35.4,34.9,35.4
"7992 Vinding (Silkeborg Kommune)",37.1,37.9,37.7
"7993 Bryrup (Silkeborg Kommune)",41.0,40.2,41.1
"7994 Brædstrup (Horsens Kommune)",45.4,45.5,45.6
"7995 Føvling (Horsens Kommune)",38.1,38.6,38.3
"7996 Tønning (Horsens Kommune)",34.5,33.3,34.0
"7997 Træden (Horsens Kommune)",35.2,35.7,36.6
"7998 Them (Silkeborg Kommune)",37.7,37.7,37.5
"7999 Nørre Snede (Ikast-Brande Kommune)",41.4,41.3,41.6
"8000 Ejstrup (Ikast-Brande Kommune)",39.9,39.8,40.0
"8001 Aale (Hedensted Kommune)",36.7,36.2,36.2
"8002 Linnerup (Hedensted Kommune)",38.4,37.5,36.5
"8003 Tørring (Hedensted Kommune)",41.9,40.9,40.9
"8004 Hammer (Hedensted Kommune)",35.2,35.5,36.8
"8005 Klovborg (Ikast-Brande Kommune, Hedensted Kommune)",41.4,41.5,41.5
"8006 Tyrsting (Horsens Kommune)",36.2,37.4,37.2
"8007 Vrads (Silkeborg Kommune)",40.7,41.8,41.9
"8008 Skanderborg Slotssogn (Skanderborg Kommune)",0.0,0.0,0.0
"8009 Skanderup (Skanderborg Kommune)",0.0,0.0,0.0
"8010 Stilling (Skanderborg Kommune)",37.7,37.9,38.2
"8011 Blegind (Skanderborg Kommune)",33.7,33.5,33.8
"8012 Hørning (Skanderborg Kommune)",38.6,38.7,39.0
"8013 Adslev (Skanderborg Kommune)",39.6,40.1,39.8
"8014 Dover (Skanderborg Kommune)",36.1,36.4,36.9
"8015 Veng (Skanderborg Kommune)",36.9,37.2,37.5
"8016 Mesing (Skanderborg Kommune)",36.6,37.0,36.9
"8017 Silkeborg (Silkeborg Kommune)",42.0,42.4,42.7
"8018 Mariehøj (Silkeborg Kommune)",40.7,40.6,40.7
"8019 Alderslyst (Silkeborg Kommune)",40.5,41.0,41.4
"8020 Linå (Silkeborg Kommune)",40.8,41.4,41.4
"8021 Voel (Silkeborg Kommune)",35.0,34.9,34.8
"8022 Hammel (Favrskov Kommune)",41.7,41.8,41.9
"8023 Voldby (Favrskov Kommune)",37.3,36.8,36.9
"8024 Søby (Favrskov Kommune)",37.3,37.3,38.3
"8025 Skorup (Favrskov Kommune, Silkeborg Kommune)",32.4,33.2,32.8
"8026 Tvilum (Silkeborg Kommune)",39.8,39.2,39.2
"8027 Gjern (Silkeborg Kommune)",37.6,37.0,36.1
"8028 Skannerup (Silkeborg Kommune)",42.0,41.9,42.2
"8029 Røgen (Favrskov Kommune)",40.2,40.3,40.9
"8030 Sporup (Favrskov Kommune)",35.1,35.4,35.8
"8031 Dallerup (Silkeborg Kommune)",35.8,35.0,35.2
"8032 Låsby (Skanderborg Kommune)",36.9,37.3,37.2
"8033 Alling (Skanderborg Kommune)",38.0,38.3,39.5
"8034 Tulstrup (Skanderborg Kommune)",40.8,41.6,41.6
"8035 Fruering (Skanderborg Kommune)",36.6,37.0,37.1
"8036 Vitved (Skanderborg Kommune, Aarhus Kommune)",42.3,42.3,43.1
"8037 Østbirk (Horsens Kommune)",39.4,39.3,39.2
"8038 Yding (Horsens Kommune)",36.5,36.2,36.5
"8039 Ovsted (Skanderborg Kommune)",36.6,36.5,37.0
"8040 Tåning (Skanderborg Kommune)",38.7,40.4,41.8
"8041 Hylke (Skanderborg Kommune)",38.1,37.4,37.7
"8042 Kattrup (Horsens Kommune)",36.2,36.5,37.8
"8043 Tolstrup (Horsens Kommune)",37.2,37.3,36.9
"8044 Ørridslev (Horsens Kommune)",39.6,39.2,38.7
"8045 Vedslet (Horsens Kommune)",35.6,35.5,35.4
"8046 Lundum (Horsens Kommune)",37.2,37.8,38.2
"8047 Hansted (Horsens Kommune)",38.6,38.8,38.3
"8048 Vær (Horsens Kommune)",40.5,40.7,41.0
"8049 Nebel (Horsens Kommune)",35.4,35.2,35.8
"8050 Gangsted (Horsens Kommune)",34.6,35.0,34.9
"8051 Søvind (Horsens Kommune)",40.4,40.8,40.4
"8052 Klostersogn (Horsens Kommune)",38.4,38.1,37.9
"8053 Vor Frelsers (Horsens Kommune)",40.3,39.7,39.7
"8054 Tamdrup (Horsens Kommune)",36.6,37.2,37.5
"8055 Nim (Horsens Kommune)",35.6,34.9,34.4
"8056 Underup (Horsens Kommune)",42.0,43.0,42.3
"8057 Hvirring (Hedensted Kommune)",38.9,39.3,38.9
"8058 Hornborg (Hedensted Kommune)",35.8,35.7,35.5
"8059 Endelave (Horsens Kommune)",49.4,50.8,51.7
"8060 Lyngå (Favrskov Kommune)",36.7,36.8,36.4
"8061 Vitten (Favrskov Kommune)",36.7,36.4,35.4
"8062 Haldum (Favrskov Kommune)",36.6,37.3,37.7
"8063 Over og Neder Hadsten (Favrskov Kommune)",41.7,41.2,41.4
"8064 Lading (Favrskov Kommune)",36.9,37.5,37.3
"8065 Fårup (Aarhus Kommune)",35.0,35.0,35.8
"8066 Sabro (Aarhus Kommune)",36.7,37.1,37.8
"8067 Grundfør (Favrskov Kommune)",37.3,37.7,38.3
"8068 Spørring (Aarhus Kommune)",38.8,38.4,37.9
"8069 Søften (Favrskov Kommune)",36.8,36.2,36.0
"8070 Foldby (Favrskov Kommune)",36.2,36.8,37.0
"8071 Trige (Aarhus Kommune)",35.5,36.0,36.4
"8072 Ølsted (Aarhus Kommune)",40.0,40.5,40.4
"8073 Elsted (Aarhus Kommune)",35.8,35.7,36.0
"8074 Elev (Aarhus Kommune)",34.9,35.4,34.5
"8075 Sjelle (Skanderborg Kommune)",36.5,37.6,37.3
"8076 Skjørring (Skanderborg Kommune)",34.5,35.9,36.7
"8077 Skivholme (Skanderborg Kommune)",35.7,35.8,35.8
"8078 Skovby (Skanderborg Kommune)",36.0,35.8,36.0
"8079 Borum (Aarhus Kommune)",34.5,34.2,34.5
"8080 Lyngby (Aarhus Kommune)",35.2,36.1,35.8
"8081 Harlev (Aarhus Kommune)",38.3,38.7,38.3
"8082 Framlev (Aarhus Kommune)",38.0,38.3,38.7
"8083 Storring (Skanderborg Kommune)",37.8,38.7,39.1
"8084 Stjær (Skanderborg Kommune)",36.1,36.1,35.9
"8085 Galten (Skanderborg Kommune)",38.4,38.7,38.7
"8086 Tunø (Odder Kommune)",56.2,53.6,55.1
"8087 Odder (Odder Kommune)",40.6,40.7,41.2
"8088 Torrild (Odder Kommune)",37.1,37.4,37.4
"8089 Saksild (Odder Kommune)",41.9,41.9,42.0
"8090 Nølev (Odder Kommune)",38.0,38.2,38.5
"8091 Randlev (Odder Kommune)",35.9,36.6,36.3
"8092 Bjerager (Odder Kommune)",40.3,41.0,40.6
"8093 Hundslund (Odder Kommune)",38.6,38.7,38.6
"8094 Ørting (Odder Kommune)",37.5,37.4,37.8
"8095 Falling (Odder Kommune)",40.5,40.8,40.1
"8096 Gosmer (Odder Kommune)",38.2,38.4,37.6
"8097 Halling (Odder Kommune)",43.3,43.9,44.0
"8098 Gylling (Odder Kommune)",39.7,40.0,40.1
"8099 Alrø (Odder Kommune)",40.7,42.9,41.0
"8100 Viby (Aarhus Kommune)",39.2,39.1,39.1
"8101 Fredens (Aarhus Kommune)",38.9,38.6,38.7
"8102 Holme (Aarhus Kommune)",40.3,40.8,40.9
"8103 Tranbjerg (Aarhus Kommune)",40.5,40.7,40.9
"8104 Skåde (Aarhus Kommune)",41.1,41.3,41.1
"8105 Mårslet (Aarhus Kommune)",37.4,37.4,37.6
"8106 Tiset (Aarhus Kommune)",41.3,41.0,39.9
"8107 Ormslev (Aarhus Kommune)",39.1,39.5,39.9
"8108 Kolt (Aarhus Kommune)",37.4,38.0,38.5
"8109 Beder (Aarhus Kommune)",38.8,39.4,40.1
"8110 Malling (Aarhus Kommune)",39.8,40.4,40.3
"8111 Astrup (Odder Kommune, Aarhus Kommune)",37.1,37.6,38.3
"8112 Tulstrup (Aarhus Kommune)",36.0,37.3,37.0
"8113 Hvilsted (Odder Kommune, Aarhus Kommune)",36.3,36.2,36.8
"8114 Aarhus Domsogn (Aarhus Kommune)",31.6,31.4,31.4
"8115 Vor Frue (Aarhus Kommune)",33.3,32.9,32.7
"8116 Sankt Markus (Aarhus Kommune)",36.3,36.2,36.4
"8117 Møllevang (Aarhus Kommune)",36.5,36.3,36.3
"8118 Sankt Pauls (Aarhus Kommune)",36.5,36.4,36.4
"8119 Langenæs (Aarhus Kommune)",42.2,41.9,41.6
"8120 Sankt Johannes (Aarhus Kommune)",34.7,34.6,34.5
"8121 Christians (Aarhus Kommune)",36.6,36.4,36.1
"8122 Åby (Aarhus Kommune)",38.2,38.3,38.5
"8123 Vejlby (Aarhus Kommune)",39.0,38.8,38.3
"8124 Risskov (Aarhus Kommune)",40.3,40.9,41.2
"8125 Hasle (Aarhus Kommune)",35.1,35.0,35.3
"8126 Skejby (Aarhus Kommune)",43.2,40.3,38.4
"8127 Lisbjerg (Aarhus Kommune)",37.0,36.7,36.8
"8128 Brabrand (Aarhus Kommune)",42.0,41.4,41.0
"8129 Sønder Årslev (Aarhus Kommune)",45.4,45.3,46.3
"8130 Tilst (Aarhus Kommune)",36.3,36.6,36.9
"8131 Kasted (Aarhus Kommune)",35.9,36.9,36.6
"8132 Sankt Lukas (Aarhus Kommune)",37.6,37.2,37.1
"8133 Støvring (Randers Kommune)",38.0,39.6,40.4
"8134 Mellerup (Randers Kommune)",38.1,38.9,39.2
"8135 Haslund (Randers Kommune)",40.5,39.9,39.8
"8136 Ølst (Randers Kommune)",40.1,41.7,42.2
"8137 Værum (Randers Kommune)",39.3,40.0,40.1
"8138 Ørum (Randers Kommune)",38.0,38.2,38.8
"8139 Laurbjerg (Favrskov Kommune)",38.1,38.0,37.8
"8140 Lerbjerg (Favrskov Kommune)",39.0,39.8,37.5
"8141 Nørre Galten (Favrskov Kommune)",38.2,39.2,38.8
"8142 Vissing (Favrskov Kommune)",36.3,36.9,36.3
"8143 Voldum (Favrskov Kommune)",40.0,39.5,39.4
"8144 Rud (Favrskov Kommune)",34.5,35.3,35.7
"8145 Årslev (Randers Kommune)",36.0,38.3,38.9
"8146 Vorup (Randers Kommune)",40.8,41.1,41.2
"8147 Ødum (Favrskov Kommune)",36.4,36.5,36.7
"8148 Hadbjerg (Favrskov Kommune)",33.6,32.9,31.1
"8149 Vester Tørslev (Mariagerfjord Kommune)",40.0,37.8,36.5
"8150 Svenstrup (Mariagerfjord Kommune)",35.1,36.0,36.3
"8151 Asferg (Randers Kommune)",42.4,43.0,42.5
"8152 Fårup (Randers Kommune)",39.5,38.8,39.3
"8153 Kousted (Randers Kommune)",38.7,38.1,39.3
"8154 Råsted (Randers Kommune)",38.5,38.6,37.6
"8155 Spentrup (Randers Kommune)",38.6,38.1,38.5
"8156 Gassum (Randers Kommune)",36.5,36.6,36.8
"8157 Hald (Randers Kommune)",38.7,38.3,37.2
"8158 Kærby (Randers Kommune)",40.0,38.7,38.2
"8159 Fjellerup (Norddjurs Kommune)",44.5,45.0,46.0
"8160 Glesborg (Norddjurs Kommune)",43.0,42.8,42.9
"8161 Ørum (Norddjurs Kommune)",43.4,43.6,43.0
"8162 Ginnerup (Norddjurs Kommune)",39.9,39.5,39.8
"8163 Nimtofte (Syddjurs Kommune)",40.1,40.0,40.0
"8164 Tøstrup (Syddjurs Kommune)",39.1,38.2,37.8
"8165 Anholt (Norddjurs Kommune)",48.1,48.4,48.7
"8166 Ålsø (Norddjurs Kommune)",43.6,44.0,44.7
"8167 Hoed (Norddjurs Kommune)",43.3,42.7,43.5
"8168 Vejlby (Norddjurs Kommune)",37.8,38.5,38.0
"8169 Homå (Norddjurs Kommune)",37.4,37.1,37.8
"8170 Lyngby (Norddjurs Kommune)",41.8,41.8,41.9
"8171 Albøge (Norddjurs Kommune)",39.6,40.1,41.5
"8172 Hyllested (Syddjurs Kommune)",41.1,41.7,43.0
"8173 Rosmus (Syddjurs Kommune)",41.7,41.6,41.8
"8174 Tirstrup (Syddjurs Kommune)",42.6,43.0,43.2
"8175 Fuglslev (Syddjurs Kommune)",47.3,48.2,49.2
"8176 Feldballe (Syddjurs Kommune)",37.1,37.2,36.9
"8177 Nødager (Syddjurs Kommune)",37.6,37.8,38.0
"8178 Kolind (Syddjurs Kommune)",41.3,41.1,41.0
"8179 Ebdrup (Syddjurs Kommune)",40.3,41.4,43.4
"8180 Skarresø (Syddjurs Kommune)",39.7,40.4,41.0
"8181 Sankt Mortens (Randers Kommune)",42.4,42.7,42.9
"8182 Sankt Peders (Randers Kommune)",40.8,40.7,40.4
"8183 Sankt Clemens (Randers Kommune)",42.8,42.9,43.0
"8184 Dronningborg (Randers Kommune)",41.3,41.0,41.7
"8185 Glenstrup (Mariagerfjord Kommune)",42.0,41.9,42.6
"8186 Skjellerup (Mariagerfjord Kommune)",36.3,36.6,36.8
"8187 Tvede (Randers Kommune)",39.2,37.3,38.5
"8188 Linde (Randers Kommune)",37.6,37.8,37.9
"8189 Udbyneder (Randers Kommune)",41.0,40.9,40.7
"8190 Kastbjerg (Randers Kommune, Mariagerfjord Kommune)",37.4,38.5,38.4
"8191 Dalbyneder (Randers Kommune)",38.0,38.9,38.0
"8192 Dalbyover (Randers Kommune)",38.7,38.8,38.7
"8193 Råby (Randers Kommune)",41.0,40.7,40.7
"8194 Sødring (Randers Kommune)",43.0,43.6,44.4
"8195 Øster Tørslev (Randers Kommune)",42.0,41.9,41.7
"8196 Gjerlev (Randers Kommune)",43.3,43.8,43.8
"8197 Enslev (Randers Kommune)",35.4,35.6,35.4
"8198 Hobro (Mariagerfjord Kommune)",41.6,41.7,41.6
"8199 Mariager (Mariagerfjord Kommune)",43.6,43.6,43.8
"8200 Falslev (Mariagerfjord Kommune)",41.9,41.5,41.8
"8201 Vindblæs (Mariagerfjord Kommune)",40.4,41.4,41.2
"8202 Hem (Mariagerfjord Kommune)",38.6,38.8,39.3
"8203 Sem (Mariagerfjord Kommune)",39.2,40.3,39.5
"8204 Sønder Onsild (Mariagerfjord Kommune)",37.6,37.6,37.2
"8205 Nørre Onsild (Mariagerfjord Kommune)",38.4,37.3,36.7
"8206 Hvornum (Mariagerfjord Kommune)",39.6,39.5,38.5
"8207 Snæbum (Mariagerfjord Kommune)",37.4,36.4,35.7
"8208 Borup (Randers Kommune)",39.6,38.7,38.7
"8209 Gimming (Randers Kommune)",38.2,36.3,34.8
"8210 Lem (Randers Kommune)",37.4,38.5,39.0
"8211 Harridslev (Randers Kommune)",40.4,40.2,41.0
"8212 Albæk (Randers Kommune)",39.0,39.6,40.6
"8213 Kristrup (Randers Kommune)",40.2,40.5,40.7
"8214 Virring (Randers Kommune)",39.0,38.7,38.5
"8215 Essenbæk (Randers Kommune)",40.9,40.6,39.8
"8216 Hørning (Randers Kommune)",38.5,38.2,38.1
"8217 Fausing (Norddjurs Kommune, Randers Kommune)",40.6,40.2,40.3
"8218 Auning (Norddjurs Kommune)",41.2,41.0,41.2
"8219 Marie Magdalene (Syddjurs Kommune)",39.1,38.9,38.8
"8220 Koed (Syddjurs Kommune)",39.6,39.1,38.9
"8221 Øster Alling (Norddjurs Kommune)",37.8,37.9,38.6
"8222 Vester Alling (Norddjurs Kommune)",35.3,35.5,37.1
"8223 Hvilsager (Syddjurs Kommune)",38.4,37.9,38.8
"8224 Lime (Syddjurs Kommune)",37.8,38.3,38.6
"8225 Mygind (Syddjurs Kommune)",35.7,35.8,35.6
"8226 Krogsbæk (Syddjurs Kommune)",36.7,37.4,37.6
"8227 Skørring (Syddjurs Kommune)",40.3,40.3,40.8
"8228 Søby (Syddjurs Kommune)",39.4,39.3,39.4
"8229 Skader (Syddjurs Kommune)",40.7,42.0,41.6
"8230 Halling (Syddjurs Kommune)",37.5,38.6,38.8
"8231 Grenaa (Norddjurs Kommune)",43.0,43.2,43.5
"8232 Hammelev (Norddjurs Kommune)",37.6,38.1,38.4
"8233 Enslev (Norddjurs Kommune)",38.4,37.0,37.7
"8234 Karlby (Norddjurs Kommune)",38.5,38.0,37.4
"8235 Voldby (Norddjurs Kommune)",38.0,38.1,38.3
"8236 Veggerslev (Norddjurs Kommune)",42.6,42.4,43.8
"8237 Villersø (Norddjurs Kommune)",40.1,37.8,38.8
"8238 Gjerrild (Norddjurs Kommune)",41.4,42.0,42.9
"8239 Hemmed (Norddjurs Kommune)",45.1,45.3,45.6
"8240 Rimsø (Norddjurs Kommune)",45.2,45.4,44.8
"8241 Kastbjerg (Norddjurs Kommune)",41.8,43.2,43.2
"8242 Thorsager (Syddjurs Kommune)",38.5,38.5,38.9
"8243 Bregnet (Syddjurs Kommune)",41.6,41.7,42.0
"8244 Mørke (Syddjurs Kommune)",39.7,40.0,40.2
"8245 Hornslet (Syddjurs Kommune)",39.4,39.7,39.9
"8246 Skødstrup (Aarhus Kommune)",37.6,37.6,37.2
"8247 Todbjerg (Aarhus Kommune)",36.1,36.7,37.2
"8248 Mejlby (Aarhus Kommune)",35.7,36.1,36.0
"8249 Hjortshøj (Aarhus Kommune)",38.1,38.0,38.3
"8250 Egå (Aarhus Kommune)",44.3,44.5,44.7
"8251 Ebeltoft (Syddjurs Kommune)",47.1,47.6,48.1
"8252 Dråby (Syddjurs Kommune)",43.3,43.6,44.3
"8253 Tved (Syddjurs Kommune)",43.8,44.0,44.8
"8254 Agri (Syddjurs Kommune)",40.4,42.4,42.3
"8255 Egens (Syddjurs Kommune)",42.3,42.2,42.4
"8256 Knebel (Syddjurs Kommune)",48.5,47.4,48.8
"8257 Rolsø (Syddjurs Kommune)",41.5,42.6,43.3
"8258 Vistoft (Syddjurs Kommune)",45.1,44.8,45.4
"8259 Helgenæs (Syddjurs Kommune)",48.2,49.2,50.2
"8260 Holbæk (Norddjurs Kommune)",39.3,39.1,38.4
"8261 Udby (Norddjurs Kommune)",46.5,46.8,46.7
"8262 Voer (Norddjurs Kommune)",38.4,38.4,39.5
"8263 Estruplund (Norddjurs Kommune)",41.5,41.9,41.1
"8264 Ørsted (Norddjurs Kommune)",41.5,42.1,42.2
"8265 Vivild (Norddjurs Kommune)",43.0,43.4,43.2
"8266 Vejlby (Norddjurs Kommune)",39.8,40.3,40.8
"8267 Gjesing (Norddjurs Kommune)",39.2,39.1,39.4
"8268 Nørager (Norddjurs Kommune)",39.4,40.0,40.9
"8269 Aars (Vesthimmerlands Kommune)",42.3,42.2,42.2
"8270 Havbro (Vesthimmerlands Kommune)",34.9,35.0,34.8
"8271 Vester Hornum (Vesthimmerlands Kommune)",37.4,36.7,36.3
"8272 Flejsborg (Vesthimmerlands Kommune)",42.1,38.9,37.9
"8273 Ulstrup (Vesthimmerlands Kommune)",38.0,38.5,38.2
"8274 Gundersted (Vesthimmerlands Kommune)",39.2,39.4,39.6
"8275 Blære (Vesthimmerlands Kommune)",35.3,36.4,37.5
"8276 Ejdrup (Aalborg Kommune)",39.1,38.8,38.8
"8277 Skivum (Vesthimmerlands Kommune)",35.3,35.8,36.7
"8278 Giver (Vesthimmerlands Kommune)",34.6,34.8,36.0
"8279 Brorstrup (Rebild Kommune)",35.2,35.2,35.7
"8280 Ravnkilde (Rebild Kommune)",36.0,36.5,36.3
"8281 Strandby (Vesthimmerlands Kommune)",38.8,39.0,38.7
"8282 Farsø (Vesthimmerlands Kommune)",43.6,43.2,43.3
"8283 Ullits (Vesthimmerlands Kommune)",34.6,35.2,35.5
"8284 Fovlum (Vesthimmerlands Kommune)",38.1,37.4,37.1
"8285 Louns (Vesthimmerlands Kommune)",46.8,47.3,48.3
"8286 Alstrup (Vesthimmerlands Kommune)",43.7,45.3,44.6
"8287 Gislum (Vesthimmerlands Kommune)",37.5,36.5,36.2
"8288 Vognsild (Vesthimmerlands Kommune)",36.7,36.4,36.1
"8289 Kongens Tisted (Rebild Kommune)",33.6,33.7,35.0
"8290 Binderup (Rebild Kommune)",34.7,34.4,34.1
