"Gennemsnitsalder efter sogn og tid"

" ","2007","2008","2009"
"7273 Rørby (Kalundborg Kommune)",38.8,39.1,38.9
"7274 Sankt Nikolai (Holbæk Kommune)",40.9,41.1,41.2
"7275 Tveje Merløse (Holbæk Kommune)",38.5,38.7,39.0
"7276 Butterup (Holbæk Kommune)",37.4,37.5,37.4
"7277 Tuse (Holbæk Kommune)",39.1,39.0,39.4
"7278 Nørre Jernløse (Holbæk Kommune)",38.0,38.0,38.0
"7279 Kvanløse (Holbæk Kommune)",37.7,37.4,37.8
"7280 Sønder Jernløse (Holbæk Kommune)",37.0,37.1,37.4
"7281 Søstrup (Holbæk Kommune)",38.6,39.4,39.1
"7282 Sønder Asmindrup (Holbæk Kommune)",36.8,37.0,37.2
"7283 Grandløse (Holbæk Kommune)",38.7,39.3,39.8
"7284 Tølløse (Holbæk Kommune)",39.2,39.2,39.5
"7285 Ågerup (Holbæk Kommune)",39.2,39.5,39.9
"7286 Soderup (Holbæk Kommune)",37.1,37.3,37.6
"7287 Kirke Eskilstrup (Holbæk Kommune)",37.9,38.3,38.6
"7288 Store Tåstrup (Holbæk Kommune)",38.9,39.3,40.1
"7289 Ugerløse (Holbæk Kommune)",38.3,38.7,39.0
"7290 Undløse (Holbæk Kommune)",39.8,39.2,39.3
"7291 Søndersted (Holbæk Kommune)",38.3,39.2,39.8
"7292 Udby (Holbæk Kommune)",44.3,44.6,44.9
"7293 Hørby (Holbæk Kommune)",42.7,42.6,43.1
"7294 Hagested (Holbæk Kommune)",40.1,40.0,39.2
"7295 Gislinge (Holbæk Kommune)",39.1,38.4,38.4
"7296 Kundby (Holbæk Kommune)",37.9,37.8,38.3
"7297 Hjembæk (Holbæk Kommune)",39.2,38.8,38.6
"7298 Svinninge (Holbæk Kommune)",41.6,41.8,41.9
"7299 Jyderup (Holbæk Kommune)",40.5,41.1,41.3
"7300 Holmstrup (Holbæk Kommune)",39.1,40.0,40.0
"7301 Stigs Bjergby (Holbæk Kommune)",37.6,38.7,38.0
"7302 Mørkøv (Holbæk Kommune)",39.8,39.8,39.5
"7303 Skamstrup (Holbæk Kommune)",38.6,39.2,39.1
"7304 Karrebæk (Næstved Kommune)",48.3,48.9,49.4
"7305 Fodby (Næstved Kommune)",42.2,42.7,41.9
"7306 Herlufsholm (Næstved Kommune)",40.6,40.6,40.7
"7307 Gunderslev (Næstved Kommune)",37.5,38.3,39.5
"7308 Skælskør (Slagelse Kommune)",45.6,46.0,46.2
"7309 Eggeslevmagle (Slagelse Kommune)",42.5,42.1,42.2
"7310 Høve (Slagelse Kommune)",38.0,38.6,39.5
"7311 Flakkebjerg (Slagelse Kommune)",38.6,39.0,39.5
"7312 Skørpinge (Slagelse Kommune)",38.2,38.4,37.8
"7313 Fårdrup (Slagelse Kommune)",39.3,38.6,40.8
"7314 Sørbymagle (Slagelse Kommune)",38.9,38.9,39.3
"7315 Kirkerup (Slagelse Kommune)",42.8,42.0,42.7
"7316 Gimlinge (Slagelse Kommune)",38.8,37.9,38.1
"7317 Hårslev (Næstved Kommune)",36.8,36.0,36.3
"7318 Ting Jellinge (Næstved Kommune)",38.1,39.0,38.8
"7319 Hyllested (Slagelse Kommune)",39.3,38.7,38.3
"7320 Venslev (Slagelse Kommune)",37.5,37.2,36.4
"7321 Holsteinborg (Slagelse Kommune)",47.4,47.4,48.4
"7322 Ørslev (Slagelse Kommune)",40.6,41.6,41.9
"7323 Sønder Bjerge (Slagelse Kommune)",33.1,34.2,35.0
"7324 Tjæreby (Slagelse Kommune)",35.6,36.4,36.8
"7325 Magleby (Slagelse Kommune)",37.4,37.5,37.6
"7326 Agersø (Slagelse Kommune)",49.4,49.2,50.4
"7327 Omø (Slagelse Kommune)",53.5,53.8,54.7
"7328 Tystrup (Næstved Kommune)",40.7,41.3,42.6
"7329 Haldagerlille (Næstved Kommune)",40.1,39.6,39.2
"7330 Krummerup (Næstved Kommune)",39.1,39.5,40.0
"7331 Fuglebjerg (Næstved Kommune)",45.1,45.5,45.6
"7332 Førslev (Næstved Kommune)",36.2,36.5,37.3
"7333 Vallensved (Næstved Kommune)",38.0,38.3,39.3
"7334 Marvede (Næstved Kommune)",40.2,40.5,41.0
"7335 Hyllinge (Næstved Kommune)",37.3,37.7,37.5
"7336 Kvislemark (Næstved Kommune)",38.4,38.0,36.8
"7337 Fyrendal (Næstved Kommune)",39.6,39.7,39.8
"7338 Munke Bjergby (Sorø Kommune)",38.0,38.1,38.5
"7339 Bromme (Sorø Kommune)",42.5,42.7,42.6
"7340 Gyrstinge (Ringsted Kommune)",35.8,35.4,35.5
"7341 Kirke Flinterup (Sorø Kommune)",34.3,35.2,35.4
"7342 Stenmagle (Sorø Kommune)",36.8,36.9,37.1
"7343 Bringstrup (Ringsted Kommune)",39.1,39.8,39.9
"7344 Sigersted (Ringsted Kommune)",37.6,37.9,38.4
"7345 Sankt Mikkels (Slagelse Kommune)",40.4,40.2,40.4
"7346 Hejninge (Slagelse Kommune)",41.4,40.5,39.7
"7347 Sankt Peders (Slagelse Kommune)",39.8,39.8,40.3
"7348 Sankt Povls (Slagelse Kommune)",45.4,45.8,46.0
"7349 Tårnborg (Slagelse Kommune)",40.0,41.0,41.4
"7350 Sønderup (Slagelse Kommune)",35.5,36.0,35.9
"7351 Nordrupvester (Slagelse Kommune)",37.5,36.7,37.7
"7352 Gudum (Slagelse Kommune)",35.8,35.6,35.9
"7353 Sorterup (Slagelse Kommune)",38.1,38.8,38.9
"7354 Ottestrup (Slagelse Kommune)",37.4,36.9,36.9
"7355 Slots Bjergby (Slagelse Kommune)",42.9,43.1,42.4
"7356 Sludstrup (Slagelse Kommune)",35.6,36.7,36.7
"7357 Lundforlund (Slagelse Kommune)",41.4,43.2,43.2
"7358 Gerlev (Slagelse Kommune)",36.2,36.3,37.8
"7359 Kirke Stillinge (Slagelse Kommune)",45.4,45.9,45.9
"7360 Vemmelev (Slagelse Kommune)",38.2,38.2,38.0
"7361 Hemmeshøj (Slagelse Kommune)",35.0,34.6,35.6
"7362 Boeslunde (Slagelse Kommune)",39.9,40.2,39.7
"7363 Ringsted (Ringsted Kommune)",40.0,39.8,39.8
"7364 Benløse (Ringsted Kommune)",39.3,39.5,39.6
"7365 Haraldsted (Ringsted Kommune)",38.5,38.6,38.6
"7366 Allindemagle (Ringsted Kommune)",37.2,37.7,38.8
"7367 Jystrup (Ringsted Kommune)",37.4,37.3,38.4
"7368 Valsølille (Ringsted Kommune)",36.7,38.2,38.3
"7369 Vigersted (Ringsted Kommune)",39.6,39.5,39.2
"7370 Kværkeby (Ringsted Kommune)",38.1,38.1,38.4
"7371 Nordrupøster (Ringsted Kommune)",38.6,39.5,39.6
"7372 Farendløse (Ringsted Kommune)",34.5,35.1,35.4
"7373 Vetterslev (Ringsted Kommune)",37.9,38.5,38.2
"7374 Høm (Ringsted Kommune)",36.8,37.0,37.5
"7375 Øde Førslev (Faxe Kommune)",38.0,38.4,38.7
"7376 Sneslev (Ringsted Kommune)",37.6,38.4,38.0
"7377 Terslev (Faxe Kommune)",39.9,39.7,39.5
"7378 Ørslev (Ringsted Kommune)",38.4,38.2,38.7
"7379 Haslev (Faxe Kommune)",39.7,39.9,40.2
"7380 Freerslev (Faxe Kommune)",40.2,40.0,40.1
"7381 Teestrup (Faxe Kommune)",38.3,38.3,38.6
"7382 Bråby (Faxe Kommune)",38.3,37.4,37.5
"7383 Sorø (Sorø Kommune)",43.5,44.2,44.3
"7384 Pedersborg (Sorø Kommune)",38.8,38.5,37.7
"7385 Kindertofte (Slagelse Kommune)",38.6,38.6,39.4
"7386 Lynge (Sorø Kommune)",40.5,40.2,40.5
"7387 Vester Broby (Sorø Kommune)",40.9,41.3,42.2
"7388 Alsted (Sorø Kommune)",38.6,38.9,40.0
"7389 Fjenneslev (Sorø Kommune)",39.5,39.5,39.7
"7390 Slaglille (Sorø Kommune)",38.9,38.1,39.0
"7391 Bjernede (Sorø Kommune)",36.9,36.9,37.3
"7392 Blistrup (Gribskov Kommune)",43.2,43.3,44.0
"7393 Vejby (Gribskov Kommune)",42.6,42.5,42.8
"7394 Tibirke (Gribskov Kommune)",45.2,45.5,46.2
"7395 Ramløse (Gribskov Kommune)",38.8,39.0,39.1
"7396 Annisse (Gribskov Kommune)",40.9,41.4,41.9
"7397 Frederiksværk (Halsnæs Kommune)",41.9,42.0,42.2
"7398 Vinderød (Halsnæs Kommune)",39.4,39.8,39.8
"7399 Kregme (Halsnæs Kommune)",40.6,40.7,40.7
"7400 Ølsted (Halsnæs Kommune)",41.4,42.2,42.0
"7401 Tjæreby (Hillerød Kommune)",39.9,40.3,40.1
"7402 Alsønderup (Hillerød Kommune)",36.8,37.2,37.2
"7403 Skævinge (Hillerød Kommune)",36.3,36.0,35.7
"7404 Lille Lyngby (Hillerød Kommune)",36.1,36.4,36.8
"7405 Strø (Hillerød Kommune)",35.5,35.8,35.8
"7406 Gørløse (Hillerød Kommune)",36.0,35.7,36.1
"7407 Melby (Halsnæs Kommune)",42.5,42.7,42.8
"7408 Torup (Halsnæs Kommune)",43.0,43.3,43.9
"7409 Ølstykke (Egedal Kommune)",36.8,37.0,37.2
"7410 Stenløse (Egedal Kommune)",40.8,40.8,40.6
"7411 Veksø (Egedal Kommune)",35.0,35.1,35.9
"7412 Slagslunde (Egedal Kommune)",39.2,39.4,40.0
"7413 Ganløse (Egedal Kommune)",39.7,40.1,40.3
"7414 Farum (Furesø Kommune)",39.3,39.5,39.7
"7415 Hillerød (Hillerød Kommune)",40.3,40.6,40.8
"7416 Nørre Herlev (Hillerød Kommune)",37.4,37.9,38.5
"7417 Præstevang (Hillerød Kommune)",41.5,41.6,41.7
"7418 Frederikssund (Frederikssund Kommune)",44.2,44.7,45.0
"7419 Oppe Sundby (Frederikssund Kommune)",39.6,39.5,39.6
"7420 Snostrup (Frederikssund Kommune)",37.9,38.8,38.8
"7421 Slangerup (Frederikssund Kommune)",37.6,37.9,38.3
"7422 Uvelse (Hillerød Kommune, Frederikssund Kommune)",37.7,38.0,38.5
"7423 Græse (Frederikssund Kommune)",34.4,34.9,35.6
"7424 Sigerslevvester (Frederikssund Kommune)",41.5,40.7,40.8
"7425 Lynge (Allerød Kommune)",36.5,36.8,37.3
"7426 Uggeløse (Allerød Kommune)",39.4,39.8,40.1
"7427 Jørlunde (Egedal Kommune, Frederikssund Kommune)",37.4,37.8,38.3
"7428 Esbønderup (Gribskov Kommune)",42.2,42.1,41.9
"7429 Nødebo (Hillerød Kommune)",39.3,39.4,39.8
